Frequency (MHz),CISPR11_RE_CLASS_B_Group_1,CISPR11_RE_CLASS_B_Group_1_Important,CISPR11_RE_CLASS_A_Group_1_up_to_20kVA]
40.26042311,40,,50
40.32042558,40,,50
40.38042806,40,,50
40.44043053,40,,50
40.50043301,40,,50
40.56043548,40,,50
40.62043796,40,,50
40.68044043,40,,50
40.7404429,40,,50
40.80044538,40,,50
40.86044785,40,,50
40.92045033,40,,50
40.9804528,40,,50
41.04045528,40,,50
41.10045775,40,,50
41.16046023,40,,50
41.2204627,40,,50
41.28046517,40,,50
41.34046765,40,,50
41.40047012,40,,50
41.4604726,40,,50
41.52047507,40,,50
41.58047755,40,,50
41.64048002,40,,50
41.70048249,40,,50
41.76048497,40,,50
41.82048744,40,,50
41.88048992,40,,50
41.94049239,40,,50
42.00049487,40,,50
42.06049734,40,,50
42.12049981,40,,50
42.18050229,40,,50
42.24050476,40,,50
42.30050724,40,,50
42.36050971,40,,50
42.42051219,40,,50
42.48051466,40,,50
42.54051713,40,,50
42.60051961,40,,50
42.66052208,40,,50
42.72052456,40,,50
42.78052703,40,,50
42.84052951,40,,50
42.90053198,40,,50
42.96053446,40,,50
43.02053693,40,,50
43.0805394,40,,50
43.14054188,40,,50
43.20054435,40,,50
43.26054683,40,,50
43.3205493,40,,50
43.38055178,40,,50
43.44055425,40,,50
43.50055672,40,,50
43.5605592,40,,50
43.62056167,40,,50
43.68056415,40,,50
43.74056662,40,,50
43.8005691,40,,50
43.86057157,40,,50
43.92057404,40,,50
43.98057652,40,,50
44.04057899,40,,50
44.10058147,40,,50
44.16058394,40,,50
44.22058642,40,,50
44.28058889,40,,50
44.34059136,40,,50
44.40059384,40,,50
44.46059631,40,,50
44.52059879,40,,50
44.58060126,40,,50
44.64060374,40,,50
44.70060621,40,,50
44.76060868,40,,50
44.82061116,40,,50
44.88061363,40,,50
44.94061611,40,,50
45.00061858,40,40,50
45.06062106,40,40,50
45.12062353,40,40,50
45.18062601,40,40,50
45.24062848,40,40,50
45.30063095,40,40,50
45.36063343,40,40,50
45.4206359,40,40,50
45.48063838,40,40,50
45.54064085,40,40,50
45.60064333,40,40,50
45.6606458,40,40,50
45.72064827,40,40,50
45.78065075,40,40,50
45.84065322,40,40,50
45.9006557,40,40,50
45.96065817,40,40,50
46.02066065,40,40,50
46.08066312,40,40,50
46.14066559,40,40,50
46.20066807,40,40,50
46.26067054,40,40,50
46.32067302,40,40,50
46.38067549,40,40,50
46.44067797,40,40,50
46.50068044,40,40,50
46.56068291,40,40,50
46.62068539,40,40,50
46.68068786,40,40,50
46.74069034,40,40,50
46.80069281,40,40,50
46.86069529,40,40,50
46.92069776,40,40,50
46.98070024,40,40,50
47.04070271,40,40,50
47.10070518,40,40,50
47.16070766,40,40,50
47.22071013,40,40,50
47.28071261,40,40,50
47.34071508,40,40,50
47.40071756,40,40,50
47.46072003,40,40,50
47.5207225,40,40,50
47.58072498,40,40,50
47.64072745,40,40,50
47.70072993,40,40,50
47.7607324,40,40,50
47.82073488,40,40,50
47.88073735,40,40,50
47.94073982,40,40,50
48.0007423,40,40,50
48.06074477,40,40,50
48.12074725,40,40,50
48.18074972,40,40,50
48.2407522,40,40,50
48.30075467,40,40,50
48.36075714,40,40,50
48.42075962,40,40,50
48.48076209,40,40,50
48.54076457,40,40,50
48.60076704,40,40,50
48.66076952,40,40,50
48.72077199,40,40,50
48.78077446,40,40,50
48.84077694,40,40,50
48.90077941,40,40,50
48.96078189,40,40,50
49.02078436,40,40,50
49.08078684,40,40,50
49.14078931,40,40,50
49.20079179,40,40,50
49.26079426,40,40,50
